"noOfCities", "noOfHouseholds", "cityAttractivenessBySize_Weight", "cityAttractivenessBySize_StartY", "cityAttractivenessBySize_TippingPointX", "cityAttractivenessBySize_TippingPointY", "cityAttractivenessBySize_EndY", "borrowedUtilityMaxDistance", "borrowedUtilityWeight", "populationGrowth", "job4_Modifier", "job4_Modifier", "job5_Max", "MinDistCityAttractiveness", "Job6Attractiveness", "job7_Value", "job6_TippingPointX", "rtm_TippingPointY", "job2_TippingPointY", "Job3Attractiveness", "job5_TippingPointY", "minDistBetweenCities", "maxDistBetweenCities", "rtm_TippingPointX", "rtm_PlateauPointX", "rtm_PlateauPointY", "rtm_AgeModifier", "rtm_ResistancePerChild", "MinimalMovingDistance", "MaximumMovingDistance", "MaxDistCityAttractiveness", "Job1Attractiveness", "Job2Attractiveness", "Job4Attractiveness", "Job5Attractiveness", "Job7Attractiveness", "job1_TippingPointY", "job3_TippingPointX", "job3_TippingPointY", "job4_TippingPointX", "job4_TippingPointY", "job4_Max", "job5_TippingPointX", "job5_Modifier", "job6_TippingPointY", "Seed", "NumberOfYears", "WarmUpTime", "City 0", "City 1", "City 2", "City 3", "City 4", "City 5", "City 6", "City 7", "City 8", "City 9", "City 10"
10, 20000, 0.48720561633585, 0.450031887737103, 0.719108930815477, 0.66159419317559, 0.947420048551324, 142.561649398723, 0.0410758890560828, 1.00368324605943, 41.8902427814653, 0.938170230969942, 0.663213425656548, 0.149590044118906, 0.517367261790515, 0.551507564978208, 0.257352201842082, 0.727212771013534, 0.515577844560767, 0.455021531231236, 0.563158922468933, 91.9551575884223, 419.827666994417, 11.5101322380748, 19.3764558873217, 0.969002028257043, 0.015489576355756, 0.187850949934761, 193.438854443787, 224.268848355704, 0.444617714752862, 0.493990150890158, 0.563706349169991, 0.437362963153981, 0.58687827768658, 0.528650471858525, 0.579096170204847, 0.348673586194559, 0.486886673025632, 0.0793918607643573, 0.554643246956635, 0.55534081151546, 0.0232199191173539, 10.3384358820319, 0.503178804259592, 1338, 80, 2, 15406, 646, 594, 516, 461, 418, 361, 185, 130, 174, 34
10, 20000, 0.758157196570343, 0.484952651679205, 0.675419070764911, 0.607328821676162, 0.890813607632959, 132.24125498021, 0.241775780227229, 1.00258683658642, 55.7083836224303, 0.662657069085787, 0.745037889387226, 0.0765722551428868, 0.448784486892788, 0.460843861289322, 0.256738575172455, 0.364709963934341, 0.426983318659166, 0.425438153164772, 0.439457605388636, 97.8119504010305, 337.380593434907, 13.0456762921143, 17.7252271358234, 0.701323272614585, 0.135201325612748, 0.181111460411021, 150.88415772612, 387.779360572342, 0.118179121220702, 0.473922400265777, 0.408518047075408, 0.442183836092707, 0.479851021201971, 0.401495550479274, 0.464126803169337, 0.399329197936226, 0.456077744978014, 0.0181028785720002, 0.453573152176881, 0.749955189722124, 0.0933758208030602, 9.43252221383465, 0.400632961350028, 1338, 80, 2, 12231, 1328, 544, 572, 721, 1086, 513, 466, 487, 535, 476
10, 20000, 0.743452040376918, 0.559429236053489, 0.621288673686795, 0.646783505501846, 0.859642332692165, 214.709533841039, 0.174722647267627, 1.00479409236175, 47.2637653910369, 0.594628389577847, 0.720154462316306, 0.370227774391222, 0.430326083986865, 0.414650689267243, 0.350424855252573, 0.628137151688958, 0.500178961636964, 0.412812291842575, 0.464981184920762, 49.3919977230951, 207.629094148055, 5.99590777631383, 15.8138502085969, 0.809539203447445, 0.186481122917798, 0.220336184758522, 118.950575782282, 267.166576690661, 0.011232803343834, 0.464677570364283, 0.582007329053401, 0.483926447189879, 0.568956655851721, 0.419174152285481, 0.552319116360197, 0.345220525155154, 0.594515299341952, 0.0662023735560244, 0.543747059763875, 0.547699951736955, 0.09756645237091, 8.37067334926687, 0.45142700006937, 1338, 80, 2, 16528, 607, 315, 343, 214, 234, 213, 176, 140, 90, 0
10, 20000, 0.242922694449468, 0.598660340628897, 0.400236230195034, 0.658401144239275, 0.972836480571112, 120.387009772472, 0.232664868703772, 1.00582351007663, 50.8810596399382, 0.31253453178176, 0.646079116643639, 0.386283145561993, 0.565063416505077, 0.591601129364843, 0.245840563460408, 0.671061063701054, 0.535934823922813, 0.531301098819667, 0.542332094950291, 61.1241663069464, 241.031584987417, 14.0361337700626, 21.3097813740683, 0.807511425761428, 0.215346029646749, 0.292931253558351, 86.6259992345919, 212.58426577334, 0.479905978698834, 0.51907479325356, 0.446019646280135, 0.454852237518877, 0.59040068748733, 0.422052930821199, 0.431540675845308, 0.265845849870238, 0.552524291395675, 0.0288426662542857, 0.420420463572567, 0.637299384352053, 0.083718011070299, 8.44701665765916, 0.499036833142241, 1338, 80, 2, 10703, 1035, 1175, 879, 981, 1092, 634, 762, 841, 911, 0
10, 20000, 0.253837907333703, 0.421848766263419, 0.470907070207875, 0.783134030774391, 0.962341136519487, 59.9057514051286, 0.187826141362311, 1.00265269501212, 55.4449252113948, 0.879930008586962, 0.706476143335691, 0.142724129322924, 0.529379620014535, 0.430495554820014, 0.332683074515623, 0.745858203166863, 0.509153266579534, 0.408347990113155, 0.590502260355744, 148.990564358979, 218.326056747464, 12.2374284062535, 17.6585375737865, 0.71632498149178, 0.221672160924389, 0.261532817148014, 75.5977086721097, 213.033254816042, 0.177275370429371, 0.580484299040244, 0.435978243900463, 0.559919133420258, 0.4584342561032, 0.555802307052693, 0.525253871814348, 0.39196159082884, 0.588481944861822, 0.0630479195375694, 0.580587316916014, 0.788131703131134, 0.0310120826562634, 11.0278241317843, 0.527148286380339, 1338, 80, 2, 3151, 1939, 1169, 1326, 2630, 1998, 1105, 1430, 3208, 950, 121
10, 20000, 0.731203870264968, 0.46850399819063, 0.404523215981666, 0.615186179597086, 0.977323943149609, 203.221938901891, 0.0292452733891938, 1.00560663164639, 49.8562711169447, 0.626335604890094, 0.765269614023622, 0.343868803785361, 0.55156648285718, 0.521581550374938, 0.398200025620405, 0.642114394056068, 0.507466547833911, 0.537391233594312, 0.505823776530412, 145.317633946985, 294.185363283381, 9.5381920512688, 17.3438120903602, 0.775024885884098, 0.0322405486285609, 0.105655425506217, 144.357176921639, 339.273649324042, 0.450528779117018, 0.51591856624838, 0.517595524401714, 0.556130083593695, 0.498340954201141, 0.545097181263069, 0.435833832359718, 0.201046322263312, 0.407726781912458, 0.0995267029002309, 0.476781558183487, 0.771724853617372, 0.079359104318684, 9.22726919726779, 0.500623303392281, 1338, 80, 2, 19026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 20000, 0.045952879167938, 0.55532267005338, 0.604093276806641, 0.604372912496018, 0.879569653493352, 155.631854459333, 0.0361407314293319, 1.0047218676633, 48.5712326834972, 0.199151959943896, 0.616435621083947, 0.144526637091674, 0.438836207243769, 0.46630118407635, 0.279063458648821, 0.301719416619744, 0.5787727562751, 0.55441392420372, 0.457262209055945, 94.0745540024713, 336.94108453556, 7.74716340853677, 23.6917148741893, 0.766273211369989, 0.0217302089861128, 0.124835693419763, 50.5903052250948, 328.051450354513, 0.306424372593042, 0.547997900477455, 0.534155010592192, 0.58267850672671, 0.41888052292432, 0.508066844435564, 0.513076302227875, 0.238426029950846, 0.512747517009887, 0.0606686918542953, 0.50109699858663, 0.761479693881935, 0.0972671934535261, 11.7367316649016, 0.537878783701143, 1338, 80, 2, 7371, 1904, 1599, 1257, 1082, 1205, 993, 1067, 1295, 1049, 9
10, 20000, 0.735109930204538, 0.414099087864937, 0.280557661114726, 0.726848179661203, 0.813528722874975, 244.840206829676, 0.214502369337133, 1.00677226298233, 54.3506689053153, 0.0386474880855531, 0.636812495763879, 0.129439854838521, 0.42366149112815, 0.406275975805862, 0.357307668200694, 0.400095106121153, 0.462658401967647, 0.416850834246259, 0.448363038705972, 44.635466834344, 356.231977459276, 6.51794746893768, 24.2237138188987, 0.873176174315934, 0.0718147410060512, 0.0376405980049244, 80.2288178035299, 360.8629058407, 0.170147145706974, 0.44011585911798, 0.503552657483922, 0.550956617086039, 0.40377093850961, 0.424188106340356, 0.514505935487648, 0.303068944295868, 0.545316905313327, 0.0913636175223161, 0.473636437146769, 0.679008637579158, 0.0847376329023391, 9.08110354886701, 0.482690966901059, 1338, 80, 2, 17326, 880, 229, 156, 128, 124, 118, 97, 67, 55, 0
10, 20000, 0.590405365126984, 0.578193384687416, 0.737144572613295, 0.689546347515347, 0.803502204436654, 207.018972879276, 0.108979470324509, 1.00465479429054, 47.1758129760499, 0.37856032754605, 0.572961494765943, 0.17120373988871, 0.450288754373323, 0.40446327345244, 0.285669566860112, 0.317557472301802, 0.543793561032663, 0.581855836842054, 0.471048473567702, 134.951256806962, 462.253099716268, 8.50131652473938, 23.026692631538, 0.91827988431789, 0.0425598840538257, 0.208038529989069, 91.1682665272228, 282.569213365981, 0.0604774759238353, 0.431978214224956, 0.496114178835259, 0.530719687453626, 0.415577793697051, 0.432432036815056, 0.573250146614698, 0.329781555203255, 0.55615017770417, 0.0102873429469997, 0.504842291603175, 0.557433675851906, 0.0405849696415011, 8.56633080526566, 0.531980335815965, 1338, 80, 2, 12689, 1026, 911, 842, 784, 755, 659, 536, 565, 401, 16
10, 20000, 0.495197681341476, 0.586171878087334, 0.692712662298232, 0.681048850823039, 0.899901056965347, 74.3281161898437, 0.0549896416582245, 1.00107097841092, 50.643111327216, 0.79683216340219, 0.659129845325137, 0.31756278400148, 0.488039095065246, 0.464350508320301, 0.358665386881679, 0.307584354543748, 0.511156693948899, 0.544774751058159, 0.551593552359535, 65.0006398517639, 399.417799455812, 13.8825411676274, 18.0713388727202, 0.865267787288176, 0.163096268772831, 0.0128952772934455, 120.016630203223, 334.66196322022, 0.345577296632101, 0.432534817200309, 0.427538158798901, 0.418190688891957, 0.571225318432475, 0.537400271789171, 0.400519131952121, 0.214299240075362, 0.50972066946933, 0.0155638337111333, 0.584473841468493, 0.512493433088064, 0.0388771149886539, 10.3078194831964, 0.452058118081807, 1338, 80, 2, 5615, 2178, 1469, 1342, 1241, 1146, 1389, 1567, 1539, 1016, 210
